X,Y,Z
495.03,155.86,109.98
70.04,124.24,122.74
259.16,371.97,116.81
438.69,16.77,118.92
370.38,284.94,127.50
348.51,381.23,123.72
351.24,438.38,126.96
179.75,171.04,115.18
146.80,410.63,109.74
404.68,55.32,114.06
405.06,423.23,133.03
433.54,63.74,119.40
456.62,198.64,111.95
255.67,398.65,115.24
250.76,74.96,117.19
399.15,114.63,118.44
324.98,361.13,121.11
350.98,360.02,123.29
397.90,320.57,128.14
445.00,346.97,136.07
169.00,271.36,117.36
187.79,125.90,115.11
46.99,172.85,112.24
289.14,90.80,118.95
17.97,454.23,130.38
232.80,291.70,120.37
271.32,200.43,128.79
143.27,231.00,113.96
295.42,473.64,122.36
15.25,76.68,136.65
18.67,293.11,106.17
411.30,252.94,124.31
180.10,305.73,117.62
63.53,9.06,140.49
261.12,436.06,115.41
385.00,466.06,129.48
107.91,282.57,110.77
311.45,348.33,120.61
42.67,461.25,128.70
25.84,353.62,118.68
265.68,76.27,117.05
270.32,288.14,122.21
318.71,303.36,124.19
363.05,212.07,130.50
487.93,368.22,136.60
258.15,467.18,116.37
161.48,462.78,110.15
397.59,225.42,125.11
135.42,56.62,127.48
219.49,492.42,113.30
39.23,419.45,128.66
12.68,62.33,136.28
481.32,460.42,121.50
417.99,434.95,133.25
347.99,259.42,128.83
204.48,295.64,120.05
86.65,199.50,105.67
78.22,27.38,141.28
125.12,167.60,109.78
274.61,401.43,117.75
357.30,2.32,100.95
330.10,166.75,131.73
139.97,199.08,111.49
477.43,268.70,120.24
368.95,459.93,129.55
277.18,173.17,129.21
305.86,173.48,130.59
209.80,368.75,113.42
123.87,226.11,111.96
177.99,112.30,114.12
378.92,226.22,128.44
7.20,70.43,135.94
58.04,88.19,133.64
23.00,249.18,102.80
20.36,209.46,108.15
427.73,457.42,130.63
351.83,181.20,130.40
237.09,290.29,121.30
48.92,316.13,110.01
245.81,6.55,113.49
236.74,331.77,119.02
86.60,89.02,128.05
216.93,480.54,111.32
199.25,74.33,118.95
307.93,207.31,130.90
317.55,42.67,107.02
22.65,498.44,125.31
187.31,251.10,119.96
312.93,297.69,123.58
251.57,33.54,113.23
428.24,374.98,136.06
329.35,104.95,121.19
81.47,449.03,121.96
35.28,102.57,133.49
321.21,95.34,119.12
13.26,18.27,129.73
292.89,236.03,127.86
470.12,282.42,123.66
287.74,32.85,107.91
194.08,387.76,110.56
321.64,226.64,131.83
229.13,262.20,122.14
272.81,220.38,127.66
470.73,200.38,109.88
193.05,279.82,120.24
480.60,77.62,122.00
452.68,90.96,118.98
97.90,430.89,118.23
34.68,473.06,127.78
50.39,186.65,108.84
9.11,135.37,128.03
47.22,322.00,110.36
341.50,204.37,131.28
35.59,12.69,135.22
159.49,78.08,119.61
422.44,357.99,133.75
11.64,329.46,114.79
407.23,13.55,112.37
140.93,110.99,113.98
59.08,115.54,125.46
348.37,335.95,124.10
314.47,9.86,101.01
438.74,52.05,119.21
367.54,399.96,127.68
401.74,89.27,117.74
141.02,326.37,114.94
88.72,119.09,120.02
375.31,49.72,110.11
403.42,121.59,119.17
495.25,361.13,135.49
206.31,427.85,109.31
186.01,415.11,108.36
388.21,198.59,126.03
170.40,334.04,114.82
465.38,102.49,118.61
429.21,146.57,115.92
214.50,448.17,109.79
375.44,6.50,104.72
377.27,42.75,108.60
51.56,103.94,131.10
451.28,13.27,122.10
252.63,90.72,119.84
413.23,291.52,126.39
160.02,210.71,114.37
447.76,446.34,130.50
194.60,408.72,108.62
5.42,170.91,120.41
452.69,129.71,115.95
45.64,189.85,108.58
159.66,295.15,117.48
475.03,134.03,113.25
475.30,312.07,129.85
286.72,204.71,129.96
315.92,276.02,125.15
224.22,218.06,122.57
146.61,147.23,110.74
164.33,474.23,111.46
336.26,381.80,122.13
376.19,70.06,113.43
395.79,434.23,131.88
394.81,243.72,126.00
45.60,447.28,128.46
247.21,399.93,114.91
28.78,212.61,106.15
274.76,11.23,106.66
220.77,134.34,118.93
443.85,270.82,122.32
175.46,316.74,116.43
58.53,128.94,124.11
71.50,69.68,134.38
380.76,417.47,129.67
309.11,492.20,124.42
50.56,262.85,102.71
42.05,85.84,135.70
350.48,136.15,125.75
36.38,9.20,133.67
410.93,457.15,130.60
353.12,58.88,109.35
40.67,288.26,105.53
42.42,137.03,123.37
493.32,277.09,121.20
187.14,325.71,117.25
185.32,414.87,108.49
406.40,103.21,117.48
473.62,5.50,124.94
493.00,68.44,124.05
376.69,450.01,130.39
188.13,436.95,108.49
41.75,298.71,107.23
388.57,300.26,126.89
279.20,332.52,118.76
212.11,87.69,117.61
453.18,457.21,128.06
55.60,209.39,104.46
246.31,191.57,125.84
5.68,259.46,105.96
234.33,23.48,115.71
28.15,83.14,137.16
59.41,369.02,120.10
58.76,41.40,139.34
324.61,301.58,123.55
373.02,122.67,120.68
291.68,194.65,130.02
481.09,144.35,111.84
187.44,177.84,115.29
142.86,359.52,111.95
434.30,148.56,115.68
111.80,283.20,111.73
481.61,238.03,112.31
6.08,331.84,114.69
484.94,468.41,118.96
21.58,366.29,121.04
445.57,107.47,118.17
263.85,15.59,109.78
496.48,131.13,112.95
36.90,297.54,106.75
276.93,25.71,108.16
484.65,248.18,114.48
261.55,298.42,121.28
314.70,167.12,131.21
347.87,385.46,123.57
227.27,53.30,117.71
313.78,37.57,105.61
292.16,364.09,118.73
450.58,247.75,117.16
22.72,344.20,116.64
140.48,217.41,112.41
475.21,123.20,115.16
445.13,409.55,136.90
227.83,399.71,113.22
310.07,347.35,120.13
138.69,136.07,110.70
94.06,295.12,109.57
231.85,180.49,123.33
176.68,45.79,124.36
291.83,458.66,122.15
38.87,68.41,138.15
487.20,475.12,116.38
493.11,223.00,110.33
